deployment,location_color_code,location,sample,deploy_time_days,deploy_start,deploy_end,month,sunrise,sunset,daylength_dec,temp_c,sample_g,sample_3mm_g,63um-2mm_weight_g,subsample_g,subsample_frac,dd_tot,dd_tiburo,dd_fasciatum,dd_unk,dd_frag,gain_g,input_corr_tiburo,input_corr_fasciatum
1,pink,conweb,1-TR-PINK-1,26,2018-06-29,2018-07-25,July,5:50,20:05,14.23,23.925,1524.8,62.6,967,220.4,4.39,250,213,30,7,5,324.8,0.138,0.146
1,pink,conweb,1-TR-PINK-2,26,2018-06-29,2018-07-25,July,5:50,20:05,14.23,23.925,1529.8,71.7,979.2,244.9,5.1,98,71,21,6,5,329.8,0.138,0.146
1,blue,conweb,1-TR-BLUE-1,26,2018-06-29,2018-07-25,July,5:50,20:05,14.23,23.925,1360,30.3,892.4,201.4,4.43,252,195,54,3,2,160,0.138,0.146
1,blue,conweb,1-TR-BLUE-2,26,2018-06-29,2018-07-25,July,5:50,20:05,14.23,23.925,1256.4,20.9,837.4,270,4.19,193,152,37,4,4,56.4,0.138,0.146
1,yellow,tank corner,1-TR-YELLOW-1,26,2018-06-29,2018-07-25,July,5:50,20:05,14.23,23.925,1202,3.5,815.2,218.5,3.73,348,283,62,3,6,2,0.138,0.146
1,yellow,tank corner,1-TR-YELLOW-2,26,2018-06-29,2018-07-25,July,5:50,20:05,14.23,23.925,1370.4,23.5,924.4,269,4.57,220,171,46,3,3,170.4,0.138,0.146
2,pink,conweb,2-TR-PINK-1,27,2018-07-25,2018-08-21,August,6:08,19:47,13.63,23.936,1492.8,68.6,928.4,247.2,3.76,258,211,45,2,5,292.8,0.138,0.146
2,pink,conweb,2-TR-PINK-2,27,2018-07-25,2018-08-21,August,6:08,19:47,13.63,23.936,1548.6,64.4,986.8,244.9,5.16,278,226,51,1,2,348.6,0.138,0.146
2,blue,conweb,2-TR-BLUE-1,27,2018-07-25,2018-08-21,August,6:08,19:47,13.63,23.936,1357,39.5,885.8,260.6,4.52,204,166,36,2,4,157,0.138,0.146
2,blue,conweb,2-TR-BLUE-2,27,2018-07-25,2018-08-21,August,6:08,19:47,13.63,23.936,1306.8,27.7,846.6,261,4.36,301,228,62,11,17,106.8,0.138,0.146
2,yellow,tank corner,2-TR-YELLOW-1,27,2018-07-25,2018-08-21,August,6:08,19:47,13.63,23.936,1228.6,5.6,852.2,283.2,4.1,178,132,38,8,1,28.6,0.138,0.146
2,yellow,tank corner,2-TR-YELLOW-2,27,2018-07-25,2018-08-21,August,6:08,19:47,13.63,23.936,1492.6,30.7,1006,260.6,4.98,159,103,54,2,1,292.6,0.138,0.146
3,.,conweb,3-TR-UNK-1,35,2018-08-21,2018-09-25,September,6:30,19:09,12.65,23.894,1644.2,65.7,1063.8,243.7,5.48,86,62,22,2,5,444.2,0.138,0.146
3,.,conweb,3-TR-UNK-2,35,2018-08-21,2018-09-25,September,6:30,19:09,12.65,23.894,1561.8,58.9,1022.2,259.9,3.93,218,159,55,4,4,361.8,0.138,0.146
3,yellow,tank corner,3-TR-YELLOW-1,35,2018-08-21,2018-09-25,September,6:30,19:09,12.65,23.894,1438.2,33,997.6,268,4.79,394,294,92,8,6,238.2,0.138,0.146
3,yellow,tank corner,3-TR-YELLOW-2,35,2018-08-21,2018-09-25,September,6:30,19:09,12.65,23.894,1332.6,22.1,893.4,268.4,4.44,220,160,56,4,9,132.6,0.138,0.146
4,pink,conweb,4-TR-PINK-1,25,2018-09-25,2018-10-20,October,6:51,18:28,11.62,23.885,1553.6,95.18,1231,299.4,4.11,89,61,26,2,2,353.6,0.138,0.146
4,pink,conweb,4-TR-PINK-2,25,2018-09-25,2018-10-20,October,6:51,18:28,11.62,23.885,1489.8,64.66,1247,264.4,4.72,181,119,56,6,10,289.8,0.138,0.146
4,yellow,tank corner,4-TR-YELLOW-1,25,2018-09-25,2018-10-20,October,6:51,18:28,11.62,23.885,1338.2,19.67,1201.2,313.6,3.83,172,119,47,6,4,138.2,0.138,0.146
4,yellow,tank corner,4-TR-YELLOW-2,25,2018-09-25,2018-10-20,October,6:51,18:28,11.62,23.885,1251.8,12.09,1164.4,285.8,4.07,160,105,48,7,4,51.8,0.138,0.146
4,blue,conweb,4-TR-BLUE-1,25,2018-09-25,2018-10-20,October,6:51,18:28,11.62,23.885,1362.6,41.69,1197.2,268.6,4.46,114,80,28,6,3,162.6,0.138,0.146
4,blue,conweb,4-TR-BLUE-2,25,2018-09-25,2018-10-20,October,6:51,18:28,11.62,23.885,1385,58.26,1162,311.8,3.73,153,120,30,3,3,185,0.138,0.146
5,pink,conweb,5-TR-PINK-1,35,2019-01-01,2019-02-05,January,6:55,17:09,10.22,23.928,1254,22.19,1117.6,204.2,5.47,163,111,48,4,5,54,0.138,0.146
5,pink,conweb,5-TR-PINK-2,35,2019-01-01,2019-02-05,January,6:55,17:09,10.22,23.928,1380.3,30.56,1223,289.6,4.22,361,224,120,17,7,180.3,0.138,0.146
5,yellow,tank corner,5-TR-YELLOW-1,35,2019-01-01,2019-02-05,January,6:55,17:09,10.22,23.928,1350.2,23.53,1196.8,280.8,4.26,331,182,138,11,5,150.2,0.138,0.146
5,yellow,tank corner,5-TR-YELLOW-2,35,2019-01-01,2019-02-05,January,6:55,17:09,10.22,23.928,1271.2,14.57,1135.2,267.2,4.25,200,125,70,5,7,71.2,0.138,0.146
5,blue,conweb,5-TR-BLUE-1,35,2019-01-01,2019-02-05,January,6:55,17:09,10.22,23.928,1219.2,19.8,1090,272.2,4,224,127,80,17,2,19.2,0.138,0.146
5,blue,conweb,5-TR-BLUE-2,35,2019-01-01,2019-02-05,January,6:55,17:09,10.22,23.928,1310.2,37.21,1124.6,188,5.98,279,157,105,17,14,110.2,0.138,0.146
6,pink,conweb,6-TR-PINK-1,42,2019-02-05,2019-03-19,February,6:37,17:58,11.33,23.95,1346.2,24.9,1177,326.2,3.61,349,155,185,9,18,146.2,0.138,0.146
6,pink,conweb,6-TR-PINK-2,42,2019-02-05,2019-03-19,February,6:37,17:58,11.33,23.95,1286.4,25.76,1089.4,258.8,4.21,228,110,107,11,6,86.4,0.138,0.146
6,yellow,tank corner,6-TR-YELLOW-1,42,2019-02-05,2019-03-19,February,6:37,17:58,11.33,23.95,1386.2,30.45,1189.4,278.6,4.27,264,128,132,4,18,186.2,0.138,0.146
6,yellow,tank corner,6-TR-YELLOW-2,42,2019-02-05,2019-03-19,February,6:37,17:58,11.33,23.95,1208,12.06,1089.4,294.7,3.7,483,225,248,10,5,8,0.138,0.146
6,blue,conweb,6-TR-BLUE-1,42,2019-02-05,2019-03-19,February,6:37,17:58,11.33,23.95,1310.2,36.61,1146.8,280.4,4.09,150,76,69,5,3,110.2,0.138,0.146
6,blue,conweb,6-TR-BLUE-2,42,2019-02-05,2019-03-19,February,6:37,17:58,11.33,23.95,1260.8,26.68,1054.6,268.6,3.93,163,85,70,8,5,60.8,0.138,0.146
