sample,deployment,location_color_code,location,species,dd_no,unique,taph_base,taph_crown,taph_peaks,surf_alt,discolor,func_morph
6-TR-BLUE-2,6,blue,conweb,tiburo,1,6-TR-BLUE-2-tiburo-1,2,0,0,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,2,6-TR-BLUE-2-tiburo-2,2,0,0,0,0,ABR
6-TR-BLUE-2,6,blue,conweb,tiburo,3,6-TR-BLUE-2-tiburo-3,0,0,0,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,4,6-TR-BLUE-2-tiburo-4,2,0,0,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,5,6-TR-BLUE-2-tiburo-5,0,0,1,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,6,6-TR-BLUE-2-tiburo-6,0,0,0,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,7,6-TR-BLUE-2-tiburo-7,2,0,1,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,8,6-TR-BLUE-2-tiburo-8,0,0,0,0,0,ABR
6-TR-BLUE-2,6,blue,conweb,tiburo,9,6-TR-BLUE-2-tiburo-9,2,2,1,0,0,DR
6-TR-BLUE-2,6,blue,conweb,tiburo,10,6-TR-BLUE-2-tiburo-10,2,0,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,1,6-TR-BLUE-2-fasciatum-1,0,1,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,2,6-TR-BLUE-2-fasciatum-2,2,0,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,3,6-TR-BLUE-2-fasciatum-3,2,0,0,0,0,ABR
6-TR-BLUE-2,6,blue,conweb,fasciatum,4,6-TR-BLUE-2-fasciatum-4,0,1,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,5,6-TR-BLUE-2-fasciatum-5,0,0,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,6,6-TR-BLUE-2-fasciatum-6,0,0,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,7,6-TR-BLUE-2-fasciatum-7,0,0,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,8,6-TR-BLUE-2-fasciatum-8,1,0,0,0,0,RA
6-TR-BLUE-2,6,blue,conweb,fasciatum,9,6-TR-BLUE-2-fasciatum-9,0,0,0,0,0,GF
6-TR-BLUE-2,6,blue,conweb,fasciatum,10,6-TR-BLUE-2-fasciatum-10,1,0,0,0,0,RA
6-TR-PINK-2,6,pink,conweb,tiburo,1,6-TR-PINK-2-tiburo-1,2,0,1,0,0,GF
6-TR-PINK-2,6,pink,conweb,tiburo,2,6-TR-PINK-2-tiburo-2,2,0,1,0,0,DR
6-TR-PINK-2,6,pink,conweb,tiburo,3,6-TR-PINK-2-tiburo-3,2,0,1,0,0,DR
6-TR-PINK-2,6,pink,conweb,tiburo,4,6-TR-PINK-2-tiburo-4,2,0,0,0,0,RA
6-TR-PINK-2,6,pink,conweb,tiburo,5,6-TR-PINK-2-tiburo-5,2,0,0,0,0,DR
6-TR-PINK-2,6,pink,conweb,tiburo,6,6-TR-PINK-2-tiburo-6,0,0,1,0,0,DR
6-TR-PINK-2,6,pink,conweb,tiburo,7,6-TR-PINK-2-tiburo-7,1,1,0,0,0,ABR
6-TR-PINK-2,6,pink,conweb,tiburo,8,6-TR-PINK-2-tiburo-8,2,0,1,0,0,DR
6-TR-PINK-2,6,pink,conweb,tiburo,9,6-TR-PINK-2-tiburo-9,2,0,0,0,0,DR
6-TR-PINK-2,6,pink,conweb,tiburo,10,6-TR-PINK-2-tiburo-10,0,0,0,0,0,GF
6-TR-PINK-2,6,pink,conweb,fasciatum,1,6-TR-PINK-2-fasciatum-1,0,0,0,0,0,ABR
6-TR-PINK-2,6,pink,conweb,fasciatum,2,6-TR-PINK-2-fasciatum-2,2,0,0,0,0,RA
6-TR-PINK-2,6,pink,conweb,fasciatum,3,6-TR-PINK-2-fasciatum-3,0,0,0,0,0,ABR
6-TR-PINK-2,6,pink,conweb,fasciatum,4,6-TR-PINK-2-fasciatum-4,0,1,1,0,0,RA
6-TR-PINK-2,6,pink,conweb,fasciatum,5,6-TR-PINK-2-fasciatum-5,2,0,0,0,0,GF
6-TR-PINK-2,6,pink,conweb,fasciatum,6,6-TR-PINK-2-fasciatum-6,1,0,1,0,0,ABR
6-TR-PINK-2,6,pink,conweb,fasciatum,7,6-TR-PINK-2-fasciatum-7,0,0,0,0,0,RA
6-TR-PINK-2,6,pink,conweb,fasciatum,8,6-TR-PINK-2-fasciatum-8,2,1,0,0,0,RA
6-TR-PINK-2,6,pink,conweb,fasciatum,9,6-TR-PINK-2-fasciatum-9,2,0,0,0,0,RA
6-TR-PINK-2,6,pink,conweb,fasciatum,10,6-TR-PINK-2-fasciatum-10,0,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,tiburo,1,1-TR-BLUE-1-tiburo-1,0,0,0,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,2,1-TR-BLUE-1-tiburo-2,0,0,0,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,3,1-TR-BLUE-1-tiburo-3,2,1,0,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,4,1-TR-BLUE-1-tiburo-4,1,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,tiburo,5,1-TR-BLUE-1-tiburo-5,2,0,0,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,6,1-TR-BLUE-1-tiburo-6,2,2,1,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,7,1-TR-BLUE-1-tiburo-7,2,0,1,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,8,1-TR-BLUE-1-tiburo-8,0,0,0,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,9,1-TR-BLUE-1-tiburo-9,2,2,1,0,0,DR
1-TR-BLUE-1,1,blue,conweb,tiburo,10,1-TR-BLUE-1-tiburo-10,0,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,1,1-TR-BLUE-1-fasciatum-1,0,2,1,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,2,1-TR-BLUE-1-fasciatum-2,2,2,1,0,1,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,3,1-TR-BLUE-1-fasciatum-3,0,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,4,1-TR-BLUE-1-fasciatum-4,2,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,5,1-TR-BLUE-1-fasciatum-5,0,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,6,1-TR-BLUE-1-fasciatum-6,0,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,7,1-TR-BLUE-1-fasciatum-7,2,1,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,8,1-TR-BLUE-1-fasciatum-8,0,0,0,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,9,1-TR-BLUE-1-fasciatum-9,2,0,1,0,0,RA
1-TR-BLUE-1,1,blue,conweb,fasciatum,10,1-TR-BLUE-1-fasciatum-10,2,0,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,tiburo,1,4-TR-YELLOW-1-tiburo-1,1,0,0,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,2,4-TR-YELLOW-1-tiburo-2,1,0,1,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,3,4-TR-YELLOW-1-tiburo-3,0,0,0,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,4,4-TR-YELLOW-1-tiburo-4,1,0,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,tiburo,5,4-TR-YELLOW-1-tiburo-5,0,0,1,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,6,4-TR-YELLOW-1-tiburo-6,2,0,1,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,7,4-TR-YELLOW-1-tiburo-7,2,0,1,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,8,4-TR-YELLOW-1-tiburo-8,2,0,1,0,0,ABR
4-TR-YELLOW-1,4,yellow,corner,tiburo,9,4-TR-YELLOW-1-tiburo-9,0,0,0,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,tiburo,10,4-TR-YELLOW-1-tiburo-10,1,2,1,0,0,DR
4-TR-YELLOW-1,4,yellow,corner,fasciatum,1,4-TR-YELLOW-1-fasciatum-1,2,1,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,2,4-TR-YELLOW-1-fasciatum-2,2,0,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,3,4-TR-YELLOW-1-fasciatum-3,0,0,1,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,4,4-TR-YELLOW-1-fasciatum-4,1,0,1,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,5,4-TR-YELLOW-1-fasciatum-5,2,1,1,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,6,4-TR-YELLOW-1-fasciatum-6,2,1,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,7,4-TR-YELLOW-1-fasciatum-7,2,0,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,8,4-TR-YELLOW-1-fasciatum-8,2,0,0,0,0,ABR
4-TR-YELLOW-1,4,yellow,corner,fasciatum,9,4-TR-YELLOW-1-fasciatum-9,2,0,0,0,0,RA
4-TR-YELLOW-1,4,yellow,corner,fasciatum,10,4-TR-YELLOW-1-fasciatum-10,0,1,0,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,1,2-TR-YELLOW-1-tiburo-1,0,0,0,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,2,2-TR-YELLOW-1-tiburo-2,0,0,0,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,3,2-TR-YELLOW-1-tiburo-3,2,2,1,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,4,2-TR-YELLOW-1-tiburo-4,0,0,0,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,5,2-TR-YELLOW-1-tiburo-5,2,0,1,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,6,2-TR-YELLOW-1-tiburo-6,1,0,1,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,7,2-TR-YELLOW-1-tiburo-7,2,0,1,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,8,2-TR-YELLOW-1-tiburo-8,0,0,1,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,9,2-TR-YELLOW-1-tiburo-9,0,0,0,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,tiburo,10,2-TR-YELLOW-1-tiburo-10,2,0,1,0,0,DR
2-TR-YELLOW-1,2,yellow,corner,fasciatum,1,2-TR-YELLOW-1-fasciatum-1,2,1,1,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,2,2-TR-YELLOW-1-fasciatum-2,2,1,1,1,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,3,2-TR-YELLOW-1-fasciatum-3,0,1,1,2,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,4,2-TR-YELLOW-1-fasciatum-4,2,0,0,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,5,2-TR-YELLOW-1-fasciatum-5,2,0,1,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,6,2-TR-YELLOW-1-fasciatum-6,0,0,0,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,7,2-TR-YELLOW-1-fasciatum-7,1,1,0,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,8,2-TR-YELLOW-1-fasciatum-8,2,0,0,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,9,2-TR-YELLOW-1-fasciatum-9,2,1,1,0,0,RA
2-TR-YELLOW-1,2,yellow,corner,fasciatum,10,2-TR-YELLOW-1-fasciatum-10,1,1,1,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,tiburo,1,2-TR-YELLOW-2-tiburo-1,1,2,1,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,tiburo,2,2-TR-YELLOW-2-tiburo-2,0,0,0,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,tiburo,3,2-TR-YELLOW-2-tiburo-3,2,1,1,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,tiburo,4,2-TR-YELLOW-2-tiburo-4,2,0,0,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,tiburo,5,2-TR-YELLOW-2-tiburo-5,2,1,1,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,tiburo,6,2-TR-YELLOW-2-tiburo-6,0,0,0,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,tiburo,7,2-TR-YELLOW-2-tiburo-7,0,1,0,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,tiburo,8,2-TR-YELLOW-2-tiburo-8,0,0,0,0,0,ABR
2-TR-YELLOW-2,2,yellow,corner,tiburo,9,2-TR-YELLOW-2-tiburo-9,2,0,1,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,tiburo,10,2-TR-YELLOW-2-tiburo-10,2,1,1,0,0,DR
2-TR-YELLOW-2,2,yellow,corner,fasciatum,1,2-TR-YELLOW-2-fasciatum-1,2,1,0,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,fasciatum,2,2-TR-YELLOW-2-fasciatum-2,0,0,0,0,0,GF
2-TR-YELLOW-2,2,yellow,corner,fasciatum,3,2-TR-YELLOW-2-fasciatum-3,1,1,1,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,fasciatum,4,2-TR-YELLOW-2-fasciatum-4,2,0,0,0,0,ABR
2-TR-YELLOW-2,2,yellow,corner,fasciatum,5,2-TR-YELLOW-2-fasciatum-5,2,0,0,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,fasciatum,6,2-TR-YELLOW-2-fasciatum-6,0,1,1,0,0,RA
2-TR-YELLOW-2,2,yellow,corner,fasciatum,7,2-TR-YELLOW-2-fasciatum-7,2,0,0,0,0,RA
