id,date,month,species,individual,dive_show_feeding,dive_show,time_of_day,start_time,end_time,tot_time_min,time,pos_in_tank_v,pos_in_tank_h,activ_state,tail_beats_10sec,rubbing_reef,rubbing_walls,rubbing_bot,rubbing_interaction,notes
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,0:00,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,0:30,M,C,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,1:00,T,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,1:30,T,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,2:00,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,2:30,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,3:00,M,C,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,3:30,M,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,4:00,T,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,4:30,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,5:00,T,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,5:30,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,6:00,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,6:30,M,C,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,7:00,T,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,7:30,M,C,T,8,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,8:00,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,8:30,M,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,9:00,T,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,9:30,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,10:00,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,10:30,M,C,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,11:00,T,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,11:30,M,C,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,12:00,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,12:30,M,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,13:00,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,13:30,T,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,14:00,T,W,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,14:30,T,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,15:00,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,15:30,M,C,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,16:00,M,C,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,16:30,T,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,17:00,T,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,17:30,M,W,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,18:00,T,C,T,11,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,18:30,T,W,T,10,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,19:00,M,W,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,19:30,T,W,T,9,4,2,0,3,.
1,2019-10-05,October,fasciatum,A,Diveshow & Feeding,Diveshow,Afternoon,12:00,12:21,21,20:00,T,C,T,11,4,2,0,3,.
2,2019-10-05,October,tiburo,E,Neither,Neither,Afternoon,12:30,12:37,7,0:00,M,W,T,15,1,2,0,1,.
2,2019-10-05,October,tiburo,E,Neither,Neither,Afternoon,12:30,12:37,7,0:30,B,C,T,17,1,2,0,1,.
2,2019-10-05,October,tiburo,E,Neither,Neither,Afternoon,12:30,12:37,7,1:00,B,W,T,19,1,2,0,1,.
